country,rank,account,title,link,followers,views_avg,likes_avg,comments_avg,shares_avg,engagement_per_view,engagement_per_1k_followers,kol_score,like_view_ratio,comment_view_ratio,share_view_ratio,follower_tier
All,89,vanessalopesr,Vanessa Lopes,https://www.tiktok.com/@vanessalopesr,19300000.0,6700000.0,725600.0,7400.0,6000.0,0.11029850746268657,38.29015544041451,0.2722,0.10829850746268657,0.0011044776119402985,0.0008955223880597015,Mega (10M+)
All,90,tifannylm,⚡️TEF,https://www.tiktok.com/@tifannylm,7500000.0,8700000.0,1200000.0,4900.0,1100.0,0.1386206896551724,160.8,0.5896,0.13793103448275862,0.0005632183908045977,0.0001264367816091954,Macro (1M-10M)
All,91,lelepons,Lele Pons,https://www.tiktok.com/@lelepons,26200000.0,8100000.0,901900.0,2500.0,6000.0,0.11239506172839506,34.74809160305344,0.2692,0.11134567901234568,0.00030864197530864197,0.0007407407407407407,Mega (10M+)
All,92,mynamsissihab,Mynameissihab,https://www.tiktok.com/@mynamsissihab,730400.0,7200000.0,813100.0,4300.0,6100.0,0.114375,1127.4644030668126,0.5766,0.11293055555555556,0.0005972222222222222,0.0008472222222222222,Mid (100k-1M)
All,93,jakefellman,Jake Fellman,https://www.tiktok.com/@jakefellman,12000000.0,8199999.999999999,603700.0,8500.0,3800.0,0.0751219512195122,51.333333333333336,0.20120000000000002,0.0736219512195122,0.0010365853658536586,0.0004634146341463415,Mega (10M+)
All,94,thoriqhal,thariqhalilintar,https://www.tiktok.com/@thoriqhal,3300000.0,8000000.0,1100000.0,4900.0,1900.0,0.13835,335.39393939393943,0.6502000000000001,0.1375,0.0006125,0.0002375,Macro (1M-10M)
All,95,adinross,adin,https://www.tiktok.com/@adinross,4600000.0,5800000.0,839700.0,6900.0,5200.0,0.14686206896551723,185.17391304347828,0.6394,0.1447758620689655,0.001189655172413793,0.000896551724137931,Macro (1M-10M)
All,96,kallmekris,Kris HC,https://www.tiktok.com/@kallmekris,42600000.0,5600000.0,1100000.0,5200.0,4300.0,0.198125,26.044600938967136,0.5643999999999999,0.19642857142857142,0.0009285714285714286,0.0007678571428571428,Mega (10M+)
All,97,isaiahgarza,Isaiah Garza,https://www.tiktok.com/@isaiahgarza,7300000.0,6500000.0,1100000.0,4700.0,3200.0,0.17044615384615386,151.7671232876712,0.7041999999999999,0.16923076923076924,0.0007230769230769231,0.0004923076923076923,Macro (1M-10M)
All,98,lyrico__,ʟʏʀɪᴄᴏ,https://www.tiktok.com/@lyrico__,2800000.0,3000000.0,369500.0,6400.0,44200.0,0.14003333333333334,150.03571428571428,0.5902000000000001,0.12316666666666666,0.0021333333333333334,0.014733333333333333,Macro (1M-10M)
All,99,00h.88m,Gui,https://www.tiktok.com/@00h.88m,2500000.0,4300000.0,602300.0,2500.0,18800.0,0.14502325581395348,249.44,0.653,0.14006976744186048,0.0005813953488372093,0.004372093023255814,Macro (1M-10M)
All,100,pinchulli,Ирина Пинчук,https://www.tiktok.com/@pinchulli,2100000.0,5400000.0,566600.0,2000.0,15700.0,0.1082037037037037,278.23809523809524,0.4842,0.10492592592592592,0.00037037037037037035,0.0029074074074074076,Macro (1M-10M)
All,101,soydekko,Soydekko,https://www.tiktok.com/@soydekko,4400000.0,5800000.0,1100000.0,7700.0,853.0,0.1911298275862069,251.94386363636363,0.7998,0.1896551724137931,0.0013275862068965517,0.0001470689655172414,Macro (1M-10M)
All,102,thebenjishowfr,benji,https://www.tiktok.com/@thebenjishowfr,5200000.0,5400000.0,717500.0,5000.0,7900.0,0.13525925925925925,140.46153846153848,0.5582,0.13287037037037036,0.000925925925925926,0.001462962962962963,Macro (1M-10M)
All,103,thelivingtombstone,The Living Tombstone,https://www.tiktok.com/@thelivingtombstone,1200000.0,3900000.0,908900.0,9100.0,4800.0,0.23661538461538462,769.0,0.9254,0.23305128205128206,0.0023333333333333335,0.0012307692307692308,Macro (1M-10M)
All,104,_monaalawi,mona,https://www.tiktok.com/@_monaalawi,11200000.0,7400000.0,952300.0,4600.0,2400.0,0.12963513513513514,85.65178571428571,0.4748,0.1286891891891892,0.0006216216216216216,0.0003243243243243243,Mega (10M+)
All,105,uncletics,Uncle Tics,https://www.tiktok.com/@uncletics,3700000.0,3800000.0,430200.0,3300.0,27200.0,0.12123684210526316,124.51351351351352,0.469,0.11321052631578947,0.000868421052631579,0.007157894736842105,Macro (1M-10M)
All,106,soojinicoreana,Chingu Amiga,https://www.tiktok.com/@soojinicoreana,16500000.0,7500000.0,1200000.0,3800.0,1700.0,0.16073333333333334,73.06060606060606,0.5906,0.16,0.0005066666666666667,0.00022666666666666666,Mega (10M+)
All,107,agc.andy,andy,https://www.tiktok.com/@agc.andy,2400000.0,3500000.0,851000.0,6800.0,9400.0,0.24777142857142856,361.3333333333333,0.8954,0.24314285714285713,0.0019428571428571429,0.0026857142857142856,Macro (1M-10M)
All,108,dima_maslen,Дмитрий Масленников,https://www.tiktok.com/@dima_maslen,4500000.0,6000000.0,648600.0,10400.0,2100.0,0.11018333333333333,146.9111111111111,0.43179999999999996,0.1081,0.0017333333333333333,0.00035,Macro (1M-10M)
